"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and [[often]] [[affecting]] [[journey]] . ","it 's a [[tasty]] and [[automatically]] [[afflicts]] [[backpacking]] . ",0.0031456351280212402,0.5153582096099854,1,0,1,144,"Successful"
"unflinchingly [[bleak]] and desperate ","unflinchingly [[baleful]] and desperate ",0.16424286365509033,0.9307178258895874,0,1,0,33,"Successful"
"allows us to hope that nolan is [[poised]] to embark a [[major]] career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is [[readies]] to embark a [[severe]] career as a commercial yet [[inventor]] filmmaker . ",0.009686708450317383,0.5112102031707764,1,0,1,131,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] [[given]] the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[breathless]] [[referred]] the production 's austere locales . ",0.07816731929779053,0.5737574100494385,1,0,1,70,"Successful"
"it 's slow -- [[very]] , very [[slow]] . ","it 's slow -- [[perfectly]] , very [[lento]] . ",0.015518426895141602,0.702572226524353,0,1,0,66,"Successful"
"although laced with humor and a few [[fanciful]] [[touches]] , the film is a [[refreshingly]] serious [[look]] at young women . ","although laced with humor and a few [[temperamental]] [[afflicting]] , the film is a [[blithely]] serious [[blankly]] at young women . ",0.0440293550491333,0.7389837503433228,1,0,1,175,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[industrious]] film . ",0.03261202573776245,0.9629950523376465,0,1,0,43,"Successful"
"or doing last [[year]] 's [[taxes]] with your ex-wife . ","or doing last [[years]] 's [[honorarium]] with your ex-wife . ",0.13956624269485474,0.503870964050293,0,1,0,57,"Successful"
"you do n't have to know about [[music]] to [[appreciate]] the film 's easygoing [[blend]] of [[comedy]] and romance . ","you do n't have to know about [[musica]] to [[thanking]] the film 's easygoing [[stir]] of [[mockery]] and romance . ",0.09049886465072632,0.5200058221817017,1,0,1,149,"Successful"
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to [[jerky]] to [[utter]] turkey . ","in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[flowed]] from quirky to [[driest]] to [[absolute]] turkey . ",0.09677296876907349,0.5148587226867676,0,1,0,110,"Successful"
"the [[mesmerizing]] performances of the [[leads]] [[keep]] the film grounded and [[keep]] the audience [[riveted]] . ","the [[scintillating]] performances of the [[culminate]] [[protected]] the film grounded and [[continue]] the audience [[dumbstruck]] . ",0.023547470569610596,0.505288302898407,1,0,1,200,"Successful"
"it takes a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laziness to [[jingles]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.06781703233718872,0.5671045184135437,0,1,0,68,"Successful"
"... the [[film]] [[suffers]] from a [[lack]] of humor ( something needed to balance out the violence ) ... ","... the [[filmmakers]] [[underwent]] from a [[rarity]] of humor ( something needed to balance out the violence ) ... ",0.005308687686920166,0.7751326560974121,0,1,0,117,"Successful"
"we root for ( clara and paul ) , even like them , [[though]] perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , [[than]] perhaps it 's an emotion closer to pity . ",0.3420454263687134,0.5411155223846436,1,0,1,31,"Successful"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor . ","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[dearth]] both thrills and humor . ",0.03336423635482788,0.5279499292373657,0,1,0,59,"Successful"
"a [[gorgeous]] , high-spirited musical from [[india]] that exquisitely blends music , dance , [[song]] , and high drama . ","a [[peachy]] , high-spirited musical from [[mumbai]] that exquisitely blends music , dance , [[ditty]] , and high drama . ",0.017309248447418213,0.05279165506362915,1,1,1,200,"Failed"
