"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's a [[charming]] and often [[affecting]] journey . ","it 's a [[pretty]] and often [[afflicts]] journey . ",0.00015044212341308594,0.8780503273010254,1,0,1,66,"Successful"
"unflinchingly [[bleak]] and [[desperate]] ","unflinchingly [[baleful]] and [[frenetic]] ",0.0006435513496398926,0.9979238510131836,0,1,0,57,"Successful"
"allows us to hope that nolan is poised to embark a [[major]] career as a commercial yet [[inventive]] filmmaker . ","allows us to hope that nolan is poised to embark a [[heavy]] career as a commercial yet [[invention]] filmmaker . ",0.0002484917640686035,0.6977821588516235,1,0,1,80,"Successful"
"the acting , costumes , music , cinematography and sound are all [[astounding]] given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all [[staggering]] given the production 's austere locales . ",0.01109689474105835,0.5082537531852722,1,0,1,25,"Successful"
"it 's slow -- very , very [[slow]] . ","it 's slow -- very , very [[lent]] . ",0.01749187707901001,0.7588551044464111,0,1,0,17,"Successful"
"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] serious look at young women . ","although laced with humor and a few fanciful touches , the film is a [[blithely]] serious look at young women . ",0.00020998716354370117,0.6551755666732788,1,0,1,69,"Successful"
"a sometimes [[tedious]] film . ","a sometimes [[bulky]] film . ",0.000298917293548584,0.997107207775116,0,1,0,43,"Successful"
"or doing last year 's [[taxes]] with your ex-wife . ","or doing last year 's [[accusations]] with your ex-wife . ",0.002482295036315918,0.7440699338912964,0,1,0,53,"Successful"
"you do n't have to know about [[music]] to appreciate the film 's easygoing [[blend]] of comedy and romance . ","you do n't have to know about [[chanson]] to appreciate the film 's easygoing [[amalgamated]] of comedy and romance . ",0.0013921856880187988,0.6770007610321045,1,0,1,66,"Successful"
"in exactly 89 [[minutes]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to utter turkey . ","in exactly 89 [[moments]] , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[immersed]] from quirky to jerky to utter turkey . ",0.0007391571998596191,0.20845359563827515,0,0,0,80,"Failed"
"the [[mesmerizing]] performances of the leads keep the film grounded and keep the audience [[riveted]] . ","the [[mystifying]] performances of the leads keep the film grounded and keep the audience [[appalled]] . ",3.886222839355469e-05,0.015596628189086914,1,1,1,80,"Failed"
"it takes a strange kind of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of [[idleness]] to [[scrap]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0.00024086236953735352,0.9866945743560791,0,1,0,80,"Successful"
